English,Russian
acknowledge,признавать
acquire,приобретать
adapt,адаптироваться
adequate,адекватный
advocate,"защищать, сторонник"
allocate,распределять
anticipate,ожидать
apparent,очевидный
assess,оценивать
assign,назначать
assume,предполагать
authority,"власть, авторитет"
behalf,от имени
capability,способность
capacity,"вместимость, потенциал"
cease,прекращать
coherent,"последовательный, логичный"
coincide,совпадать
commence,начинать
compensate,компенсировать
compile,составлять
comprehensive,всеобъемлющий
comprise,"включать, состоять из"
conceive,"задумать, постигать"
conduct,проводить
consequence,последствие
considerable,значительный
consistent,последовательный
constitute,составлять
constrain,ограничивать
contemporary,современный
contribute,вносить вклад
controversy,"спор, разногласие"
convene,созывать
crucial,ключевой
deduce,делать вывод
derive,извлекать
despite,несмотря на
distinct,отчетливый
emphasis,акцент
ensure,обеспечивать
equivalent,эквивалент
establish,устанавливать
evident,очевидный
facilitate,облегчать
fluctuate,колебаться
forthcoming,предстоящий
illustrate,иллюстрировать
imply,подразумевать
insight,"понимание, проницательность"
